AlbumId,Title,Name,nbAlbum
272,Adorate Deum: Gregorian Chant from the Proper of the Mass,Alberto Turco & Nova Schola Gregoriana,1
273,Allegri: Miserere,"Richard Marlow & The Choir of Trinity College, Cambridge",1
274,Pachelbel: Canon & Gigue,English Concert & Trevor Pinnock,2
275,Vivaldi: The Four Seasons,"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",1
276,Bach: Violin Concertos,"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",1
277,Bach: Goldberg Variations,Wilhelm Kempff,1
278,Bach: The Cello Suites,Yo-Yo Ma,1
279,Handel: The Messiah (Highlights),Scholars Baroque Ensemble,1
280,The World of Classical Favourites,Academy of St. Martin in the Fields & Sir Neville Marriner,1
281,Sir Neville Marriner: A Celebration,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,1
282,Mozart: Wind Concertos,"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",1
283,Haydn: Symphonies 99 - 104,Royal Philharmonic Orchestra & Sir Thomas Beecham,1
284,Beethoven: Symhonies Nos. 5 & 6,Orchestre Révolutionnaire et Romantique & John Eliot Gardiner,1
285,A Soprano Inspired,"Britten Sinfonia, Ivor Bolton & Lesley Garrett",1
286,Great Opera Choruses,"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",1
287,Wagner: Favourite Overtures,Sir Georg Solti & Wiener Philharmoniker,1
288,"Fauré: Requiem, Ravel: Pavane & Others","Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair",1
289,Tchaikovsky: The Nutcracker,London Symphony Orchestra & Sir Charles Mackerras,1
290,The Last Night of the Proms,Barry Wordsworth & BBC Concert Orchestra,1
291,Puccini: Madama Butterfly - Highlights,"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",1
292,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",Eugene Ormandy,3
293,Pavarotti's Opera Made Easy,Luciano Pavarotti,1
294,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,Leonard Bernstein & New York Philharmonic,1
295,Carmina Burana,Boston Symphony Orchestra & Seiji Ozawa,1
296,"A Copland Celebration, Vol. I",Aaron Copland & London Symphony Orchestra,1
297,Bach: Toccata & Fugue in D Minor,Ton Koopman,1
298,Prokofiev: Symphony No.1,Sergei Prokofiev & Yuri Temirkanov,1
299,Scheherazade,Chicago Symphony Orchestra & Fritz Reiner,1
300,Bach: The Brandenburg Concertos,Orchestra of The Age of Enlightenment,1
301,Chopin: Piano Concertos Nos. 1 & 2,"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",1
302,Mascagni: Cavalleria Rusticana,James Levine,1
303,Sibelius: Finlandia,Berliner Philharmoniker & Hans Rosbaud,1
304,Beethoven Piano Sonatas: Moonlight & Pastorale,Maurizio Pollini,1
305,Great Recordings of the Century - Mahler: Das Lied von der Erde,Gustav Mahler,1
306,Elgar: Cello Concerto & Vaughan Williams: Fantasias,"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",1
307,"Adams, John: The Chairman Dances",Edo de Waart & San Francisco Symphony,1
308,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",Antal Doráti & London Symphony Orchestra,1
309,Palestrina: Missa Papae Marcelli & Allegri: Miserere,Choir Of Westminster Abbey & Simon Preston,1
310,Prokofiev: Romeo & Juliet,Michael Tilson Thomas & San Francisco Symphony,2
313,Bizet: Carmen Highlights,"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",1
314,English Renaissance,The King's Singers,1
316,Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,Berliner Philharmoniker & Herbert Von Karajan,3
317,Mozart Gala: Famous Arias,"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",1
318,SCRIABIN: Vers la flamme,Christopher O'Riley,1
319,Armada: Music from the Courts of England and Spain,Fretwork,1
321,Back to Black,Amy Winehouse,2
323,Carried to Dust (Bonus Track Version),Calexico,1
324,Beethoven: Symphony No. 6 'Pastoral' Etc.,Otto Klemperer & Philharmonia Orchestra,1
325,Bartok: Violin & Viola Concertos,Yehudi Menuhin,1
326,Mendelssohn: A Midsummer Night's Dream,Philharmonia Orchestra & Sir Neville Marriner,1
327,Bach: Orchestral Suites Nos. 1 - 4,"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",1
328,"Charpentier: Divertissements, Airs & Concerts",Les Arts Florissants & William Christie,1
329,South American Getaway,The 12 Cellists of The Berlin Philharmonic,1
330,Górecki: Symphony No. 3,Adrian Leaper & Doreen de Feis,1
331,Purcell: The Fairy Queen,"Roger Norrington, London Classical Players",1
